model_name                    method              anls                average_precision   average_recall      average_f1          
deepseek-v4-flash_cloud       ascii               0.56                0.71                0.84                0.77                
deepseek-v4-flash_cloud       full                0.53                0.68                0.88                0.76                
deepseek-v4-flash_cloud       llm_ascii           0.58                0.72                0.82                0.77                
gemma4_12b                    ascii               0.39                0.41                0.24                0.30                
gemma4_12b                    full                0.20                0.73                0.22                0.34                
gemma4_12b                    llm_ascii           0.11                0.59                0.08                0.14                
gemma4_31b                    llm_ascii           0.44                0.67                0.53                0.59                
gemma4_31b-cloud              ascii               0.45                0.73                0.55                0.63                
gemma4_31b-cloud              full                0.48                0.78                0.60                0.68                
gemma4_e2b                    ascii               0.30                0.58                0.28                0.38                
gemma4_e2b                    full                0.31                0.49                0.23                0.31                
gemma4_e2b                    llm_ascii           0.36                0.49                0.31                0.38                
gemma4_e4b                    ascii               0.40                0.47                0.36                0.41                
gemma4_e4b                    full                0.26                0.00                0.00                0.00                
gemma4_e4b                    llm_ascii           0.47                0.54                0.41                0.47                
gpt-oss_120b-cloud            ascii               0.46                0.61                0.47                0.53                
gpt-oss_120b-cloud            full                0.49                0.71                0.59                0.64                
gpt-oss_120b-cloud            llm_ascii           0.46                0.60                0.48                0.53                
gpt-oss_20b                   ascii               0.00                0.00                0.00                0.00                
gpt-oss_20b                   full                0.16                0.00                0.00                0.00                
gpt-oss_20b-cloud             ascii               0.29                0.60                0.26                0.36                
gpt-oss_20b-cloud             full                0.27                0.62                0.26                0.36                
gpt-oss_20b-cloud             llm_ascii           0.52                0.69                0.56                0.62                
granite3.3_2b                 ascii               0.29                0.25                0.12                0.16                
granite3.3_2b                 full                0.36                0.37                0.23                0.28                
granite3.3_2b                 llm_ascii           0.24                0.23                0.10                0.14                
granite3.3_8b                 ascii               0.23                0.65                0.23                0.34                
granite3.3_8b                 full                0.22                0.62                0.21                0.32                
granite3.3_8b                 llm_ascii           0.24                0.64                0.22                0.33                
qwen3.5_0.8b                  ascii               0.36                0.05                0.07                0.06                
qwen3.5_0.8b                  full                0.00                0.00                0.00                0.00                
qwen3.5_2b                    ascii               0.22                0.18                0.07                0.11                
qwen3.5_2b                    full                0.37                0.29                0.19                0.23                
qwen3.5_4b                    ascii               0.28                0.40                0.17                0.23                
qwen3.5_4b                    full                0.31                0.59                0.24                0.34                
qwen3.5_4b                    llm_ascii           0.23                0.60                0.21                0.31                
qwen3.5_9b                    ascii               0.33                0.77                0.27                0.40                
qwen3.5_9b                    full                0.00                0.00                0.00                0.00                
qwen3.5_9b                    llm_ascii           0.46                0.30                0.28                0.29                
